timestamp,gyro_x,gyro_y,gyro_z
13.272,3.252,2.458,0.527
13.288,3.405,2.466,0.611
13.304,3.443,2.504,0.626
13.321,3.298,2.305,0.511
13.337,3.374,2.382,0.588
13.353,3.336,2.305,0.542
13.369,3.534,2.656,0.519
13.385,3.298,2.702,0.458
13.401,3.183,2.328,0.710
13.418,3.275,2.313,0.557
13.434,3.534,2.183,0.573
13.450,3.557,2.504,0.427
13.466,3.305,2.321,0.588
13.482,3.504,2.435,0.603
13.499,3.435,2.473,0.565
13.515,3.405,2.573,0.679
13.531,3.374,2.519,0.542
13.547,3.427,2.603,0.557
13.564,3.328,2.672,0.679
13.580,3.366,2.443,0.802
13.596,3.366,2.481,0.405
13.612,3.198,2.557,0.626
13.628,3.290,2.603,0.466
13.645,3.382,2.656,0.672
13.661,3.519,2.290,0.634
13.677,3.160,2.626,0.389
13.693,3.382,2.443,0.435
13.710,3.458,2.336,0.527
13.726,3.366,2.359,0.855
13.742,3.313,2.656,0.534
13.758,3.580,2.427,0.748
13.774,3.282,2.496,0.733
13.790,3.389,2.672,0.298
13.807,3.435,2.779,0.496
13.823,3.420,2.519,0.763
13.839,3.450,2.420,0.466
13.856,3.313,2.466,0.824
13.872,3.305,2.435,0.588
13.888,3.328,2.595,0.687
